name,code,population
夕張市,12092,7334
岩見沢市,12106,79306
美唄市,12157,20413
芦別市,12165,12555
赤平市,12181,9698
三笠市,12220,8040
滝川市,12254,39490
砂川市,12262,16486
歌志内市,12271,2989
深川市,12289,20039
南幌町,14231,7319
奈井江町,14249,5120
上砂川町,14257,2841
由仁町,14273,4822
長沼町,14281,10289
栗山町,14290,11272
月形町,14303,3691
浦臼町,14311,1732
新十津川町,14320,6484
妹背牛町,14338,2693
秩父別町,14346,2329
雨竜町,14362,2389
北竜町,14371,1724
沼田町,14389,2909
札幌市,11002,1973395
江別市,12173,121056
千歳市,12246,97950
恵庭市,12319,70331
北広島市,12343,58171
石狩市,12351,56869
当別町,13030,15916
新篠津村,13048,3044
小樽市,12033,111299
島牧村,13919,1356
寿都町,13927,2838
黒松内町,13935,2791
蘭越町,13943,4568
ニセコ町,13951,5074
真狩村,13960,2045
留寿都村,13978,1911
喜茂別町,13986,2156
京極町,13994,2941
倶知安町,14001,15129
共和町,14010,5772
岩内町,14028,11648
泊村,14036,1569
神恵内村,14044,870
積丹町,14052,1831
古平町,14061,2745
仁木町,14079,3180
余市町,14087,18000
赤井川村,14095,1165
苫小牧市,12131,170113
登別市,12301,46391
伊達市,12335,32826
豊浦町,15717,3821
壮瞥町,15750,2743
白老町,15784,16212
厚真町,15814,4432
洞爺湖町,15849,8442
安平町,15857,7340
むかわ町,15865,7651
日高町,16012,11279
平取町,16021,4776
新冠町,16047,5309
浦河町,16071,12074
様似町,16080,4043
えりも町,16098,4374
新ひだか町,16101,21517
函館市,12025,251084
北斗市,12360,44302
松前町,13315,6260
福島町,13323,3794
知内町,13331,4167
木古内町,13340,3832
七飯町,13374,27686
鹿部町,13439,3760
森町,13455,14338
八雲町,13463,15826
長万部町,13471,5109
江差町,13617,7428
上ノ国町,13625,4306
厚沢部町,13633,3592
乙部町,13641,3403
奥尻町,13676,2410
今金町,13706,5072
せたな町,13714,7398
旭川市,12041,329306
士別市,12203,17858
名寄市,12211,27282
富良野市,12297,21131
鷹栖町,14524,6567
東神楽町,14532,10127
当麻町,14541,6319
比布町,14559,3520
愛別町,14567,2605
上川町,14575,3500
東川町,14583,8314
美瑛町,14591,9668
上富良野町,14605,10348
中富良野町,14613,4733
南富良野町,14621,2376
占冠村,14630,1306
和寒町,14648,3192
剣淵町,14656,2926
下川町,14681,3126
美深町,14699,4145
音威子府村,14702,706
中川町,14711,1528
幌加内町,14729,1370
留萌市,12122,20114
増毛町,14818,3908
小平町,14826,2994
苫前町,14834,2936
羽幌町,14842,6548
初山別村,14851,1080
遠別町,14869,2520
天塩町,14877,2950
稚内市,12149,33563
猿払村,15113,2611
浜頓別町,15121,3448
中頓別町,15130,1637
枝幸町,15148,7565
豊富町,15164,3974
礼文町,15172,2509
利尻町,15181,2004
利尻富士町,15199,2458
幌延町,15202,2371
北見市,12084,115480
網走市,12114,35759
紋別市,12190,21215
美幌町,15431,18697
津別町,15440,4373
斜里町,15458,11418
清里町,15466,3883
小清水町,15474,4623
訓子府町,15491,4677
置戸町,15504,2775
佐呂間町,15521,4875
遠軽町,15555,19241
湧別町,15598,8270
滝上町,15601,2421
興部町,15610,3628
西興部村,15628,1053
雄武町,15636,4199
大空町,15644,6775
帯広市,12076,166536
音更町,16314,43576
士幌町,16322,5848
上士幌町,16331,4778
鹿追町,16349,5266
新得町,16357,5817
清水町,16365,9094
芽室町,16373,18048
中札内村,16381,3884
更別村,16390,3080
大樹町,16411,5420
広尾町,16420,6387
幕別町,16438,25766
池田町,16446,6294
豊頃町,16454,3022
本別町,16462,6618
足寄町,16471,6563
陸別町,16489,2264
浦幌町,16497,4387
釧路市,12068,165077
釧路町,16616,19105
厚岸町,16624,8892
浜中町,16632,5507
標茶町,16641,7230
弟子屈町,16659,6955
鶴居村,16675,2558
白糠町,16683,7289
根室市,12238,24636
別海町,16918,14380
中標津町,16926,23010
標津町,16934,5023
羅臼町,16942,4722